analysis,tissue,region,sample_id,group,count_file,count_column,include
kidney,kidney,kidney,wxj7,JS,data/external_controlled/bulk/kidney/ftcount/wxjk7.txt,7,TRUE
kidney,kidney,kidney,wxj9,JS,data/external_controlled/bulk/kidney/ftcount/wxjk9.txt,7,TRUE
kidney,kidney,kidney,lyk10,JS,data/external_controlled/bulk/kidney/ftcount/lyk10.txt,7,TRUE
kidney,kidney,kidney,lyk12,JS,data/external_controlled/bulk/kidney/ftcount/lyk12.txt,7,TRUE
kidney,kidney,kidney,lyk9,JS,data/external_controlled/bulk/kidney/ftcount/lyk9.txt,7,TRUE
kidney,kidney,kidney,yhk2_3,JS,data/external_controlled/bulk/kidney/ftcount/yhk2_3.txt,7,TRUE
kidney,kidney,kidney,lhk1,JS,data/external_controlled/bulk/kidney/ftcount/lhk1_7_1.txt,7,TRUE
kidney,kidney,kidney,lhk2,JS,data/external_controlled/bulk/kidney/ftcount/lhk1_7_2.txt,7,TRUE
kidney,kidney,kidney,GSC1_4,ctrl,data/external_controlled/bulk/kidney/ftcount/GSC1_4.txt,7,TRUE
kidney,kidney,kidney,GSC1_5,ctrl,data/external_controlled/bulk/kidney/ftcount/GSC1_5.txt,7,TRUE
kidney,kidney,kidney,GSC2_1,ctrl,data/external_controlled/bulk/kidney/ftcount/GSC2_4_1.txt,7,TRUE
kidney,kidney,kidney,GSC2_2,ctrl,data/external_controlled/bulk/kidney/ftcount/GSC2_4_2.txt,7,TRUE
kidney,kidney,kidney,GSC3_1,ctrl,data/external_controlled/bulk/kidney/ftcount/GSC3_3_1.txt,7,TRUE
kidney,kidney,kidney,GSC3_2,ctrl,data/external_controlled/bulk/kidney/ftcount/GSC3_3_2.txt,7,TRUE
kidney,kidney,kidney,GSC4_1,ctrl,data/external_controlled/bulk/kidney/ftcount/GSC4_4_1.txt,7,TRUE
kidney,kidney,kidney,GSC4_2,ctrl,data/external_controlled/bulk/kidney/ftcount/GSC4_4_2.txt,7,TRUE
cerebellum,cerebellum,cerebellum,ctr1,ctrl,data/external_controlled/bulk/cerebellum/ftcount/ctr1.txt,7,TRUE
cerebellum,cerebellum,cerebellum,ctr2,ctrl,data/external_controlled/bulk/cerebellum/ftcount/ctr2.txt,7,TRUE
cerebellum,cerebellum,cerebellum,ctr3,ctrl,data/external_controlled/bulk/cerebellum/ftcount/ctr3.txt,7,TRUE
cerebellum,cerebellum,cerebellum,G5H14,JS,data/external_controlled/bulk/cerebellum/ftcount/G5H14.txt,7,TRUE
cerebellum,cerebellum,cerebellum,G5H4,JS,data/external_controlled/bulk/cerebellum/ftcount/G5H4.txt,7,TRUE
cerebellum,cerebellum,cerebellum,G5v11,JS,data/external_controlled/bulk/cerebellum/ftcount/G5v11.txt,7,TRUE
cerebellum,cerebellum,cerebellum,G5v2,JS,data/external_controlled/bulk/cerebellum/ftcount/G5v2.txt,7,TRUE
cerebellum,cerebellum,cerebellum,G6ceb13,ctrl,data/external_controlled/bulk/cerebellum/ftcount/G6ceb13.txt,7,TRUE
cerebellum,cerebellum,cerebellum,G6ceb7,ctrl,data/external_controlled/bulk/cerebellum/ftcount/G6ceb7.txt,7,TRUE
cerebellum,cerebellum,cerebellum,G7ceb_42,ctrl,data/external_controlled/bulk/cerebellum/ftcount/G7ceb_42.txt,7,TRUE
cerebellum,cerebellum,cerebellum,G7Seb_32,ctrl,data/external_controlled/bulk/cerebellum/ftcount/G7Seb_32.txt,7,TRUE
cerebellum,cerebellum,cerebellum,jmy_11,ctrl,data/external_controlled/bulk/cerebellum/ftcount/jmy_11.txt,7,TRUE
cerebellum,cerebellum,cerebellum,jmy1,ctrl,data/external_controlled/bulk/cerebellum/ftcount/jmy1.txt,7,TRUE
cerebellum,cerebellum,cerebellum,jmy2,ctrl,data/external_controlled/bulk/cerebellum/ftcount/jmy2.txt,7,TRUE
cerebellum,cerebellum,cerebellum,jmy48,ctrl,data/external_controlled/bulk/cerebellum/ftcount/jmy48.txt,7,TRUE
cerebellum,cerebellum,cerebellum,JS,JS,data/external_controlled/bulk/cerebellum/ftcount/JS.txt,7,TRUE
cerebellum,cerebellum,cerebellum,LDC18,ctrl,data/external_controlled/bulk/cerebellum/ftcount/LDC18.txt,7,TRUE
cerebellum,cerebellum,cerebellum,LDC35,ctrl,data/external_controlled/bulk/cerebellum/ftcount/LDC35.txt,7,TRUE
cerebellum,cerebellum,cerebellum,ly1ceb4,JS,data/external_controlled/bulk/cerebellum/ftcount/ly1ceb4.txt,7,TRUE
